Order,Product,Quantity,Length,Width,Height,Weight
29718,28862,20,300,160,216,8.953
29718,70696,18,387,227,151,10.382
29718,49668,1,270,270,300,10.584
29718,53900,36,130,194,290,6.278
29718,25895,10,300,160,216,10.142
29718,57007,21,244,164,274,6.06
70138,99769,20,300,160,216,8.569
70138,34894,12,378,191,115,7.506
70138,39563,10,149,239,137,3.25
70138,10122,1,381,136,109,5.398
70138,47077,36,225,225,180,5.19
70138,85667,10,300,160,216,10.238
70138,35003,4,266,130,143,2.576
70138,44647,20,300,160,216,8.741
70138,40943,54,224,224,192,5.199
70138,58234,15,149,239,137,3.25
70138,55762,16,291,196,139,6.312
70138,73067,2,300,160,216,10.439
70138,27535,20,300,160,216,8.764
70138,37019,2,331,252,281,12.601
70138,97859,6,300,160,216,10.025
70138,40304,12,385,110,35,10.473
70138,18963,20,300,160,216,8.741
70138,10772,6,225,225,180,5.19
70138,68912,26,290,240,152,10.011
70138,46392,1,331,252,281,12.611
70138,72128,3,381,136,109,5.686
70138,79723,1,378,198,89,6.435
70138,24883,40,300,160,216,10.3
70138,27762,16,291,196,139,6.312
70138,33889,12,378,191,115,7.266
70138,73852,11,293,293,192,10.383
70138,99221,3,225,225,180,5.19
70138,89429,15,211,230,264,12.25
70138,94364,1,295,260,170,10.471
70138,62174,10,300,160,216,8.664
70138,37644,20,300,160,216,9.924
70138,36015,20,300,160,216,9.197
70138,18967,33,160,160,111,1.781
70138,72628,12,130,194,290,6.113
70138,62538,3,244,164,274,5.811
70138,30470,20,300,160,210,9.081
70138,34299,7,130,194,290,6.026
70138,30267,3,300,205,125,3.545
70138,30294,2,378,198,89,6.433
70138,16118,6,300,160,216,8.939
70138,88772,6,225,225,180,5.19
70138,64393,5,263,221,253,8.815
70138,15655,15,211,230,264,12.07
70138,86799,6,266,266,266,10.369
70138,75023,6,244,164,274,5.811
70138,72622,2,300,160,216,10.49
70138,63719,20,300,160,216,8.928
70138,71507,5,211,230,264,12.126
70138,40441,40,300,160,216,8.757
70138,55831,20,300,160,212,10.144
70138,57007,21,244,164,274,6.06
70138,82378,6,130,194,290,6.053
70138,22798,36,130,194,290,6.108
70138,67896,10,335,250,264,14.821
70138,38661,2,295,227,170,5.38
70138,59944,24,295,260,170,10.471
70138,47837,2,149,239,137,3.25
70138,69750,12,130,194,290,6.144
70138,63098,12,260,295,170,10.473
70138,35802,135,266,130,143,2.338
70138,96753,20,300,160,216,8.784
70138,25790,81,266,130,143,2.624
70138,25209,21,244,164,274,5.811
70138,28862,20,300,160,216,8.953
70138,30665,4,378,198,89,6.423
70138,87191,4,193,378,318,9.5
70138,97248,18,225,225,180,5.19
70138,88941,5,300,160,216,10.601
70138,84132,40,300,160,216,8.811
70138,56431,24,378,191,115,7.186
70138,30471,27,266,130,143,2.338
70138,61439,4,266,266,266,10.369
70138,68475,4,196,196,103,2.464
70138,72412,12,300,205,125,3.545
70138,84243,3,300,158,220,9.255
70138,46064,35,156,156,175,3.274
70138,55032,4,397,397,207,7.067
70138,36798,36,225,225,180,5.19
70138,89810,24,378,191,115,7.106
70138,25366,60,300,160,216,9.135
70138,44664,18,225,225,180,5.19
70138,62189,1,378,198,89,6.42
70138,48534,18,225,225,180,5.19
70138,59632,54,266,130,143,2.424
70138,19741,2,244,164,274,5.811
70138,73626,1,331,252,281,12.582
70138,66597,4,300,160,216,10.146
70138,95137,10,149,239,137,3.25
70138,83254,10,331,252,281,12.643
25043,69734,5,266,199,220,7.9
